time,throttle_left,throttle_right,omega_left,omega_right,ticks_left,ticks_right,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,ori_x,ori_y,ori_z,ori_w
1752506860.3498728,0,0,0.0,0.0,0,0,-0.03464012255866608,-0.01345635530163567,-0.040768759626737774,0.0550537109375,-0.035888671875,-1.2911376953125,-0.5459212507795961,-0.8374506261959109,0.0,0.02542511811807528
1752506860.4001255,0,0,0.0,0.0,0,0,-0.03583920372415837,-0.014122511504686942,-0.03983614094246599,0.0577392578125,-0.0364990234375,-1.2955322265625,-0.5341438008628366,-0.8449833371509087,0.0,0.026335526140864884
1752506860.4500954,0,0,0.0,0.0,0,0,-0.03410719759622506,-0.012656967857974145,-0.04263399699528134,0.052001953125,-0.0355224609375,-1.2913818359375,-0.5638909560375321,-0.825489853168346,0.0,0.02436169155006581
1752506860.5000994,0,0,0.0,0.0,0,0,-0.03530627876171736,-0.01372281778285618,-0.041035222107958284,0.0548095703125,-0.034912109375,-1.2955322265625,-0.5370714111064074,-0.8431645579957235,0.0,0.02505648642664061
1752506860.550098,0,0,0.0,0.0,0,0,-0.03450689131805583,-0.01372281778285618,-0.041168453348568536,0.0570068359375,-0.041748046875,-1.2919921875,-0.5906188213595426,-0.8064882736108375,0.0,0.02731432562000068
1752506860.6000745,0,0,0.0,0.0,0,0,-0.03370750387439431,-0.013989280264076687,-0.04036906590490701,0.055419921875,-0.0360107421875,-1.2884521484375,-0.5446796207615928,-0.8382527044941125,0.0,0.02562253178969048
1752506860.6500912,0,0,0.0,0.0,0,0,-0.03530627876171736,-0.013323124061025418,-0.03983614094246599,0.0560302734375,-0.0367431640625,-1.2884521484375,-0.5481928186508048,-0.8359485174774732,0.0,0.02597517481944014
1752506860.700083,0,0,0.0,0.0,0,0,-0.03557274124293786,-0.01532159267017923,-0.041834609551619814,0.0546875,-0.0374755859375,-1.2880859375,-0.5650910097873912,-0.8246279230773657,0.0,0.025708736619618304
1752506860.7501056,0,0,0.0,0.0,0,0,-0.03503981628049684,-0.01372281778285618,-0.04036906590490701,0.056884765625,-0.0340576171875,-1.2926025390625,-0.5135146212065064,-0.8576982562087169,0.0,0.025620989513769645
1752506860.8001044,0,0,0.0,0.0,0,0,-0.03450689131805583,-0.011324655451871604,-0.04063552838612752,0.056640625,-0.039794921875,-1.294189453125,-0.5746765220086683,-0.8179444975828897,0.0,0.026715050550111065
1752506860.850066,0,0,0.0,0.0,0,0,-0.03477335379927634,-0.014255742745297196,-0.040768759626737774,0.0557861328125,-0.0374755859375,-1.298583984375,-0.5574445648448579,-0.8298116160719873,0.0,0.02585031831377782
1752506860.900099,0,0,0.0,0.0,0,0,-0.0334410413931738,-0.0127901990985844,-0.041834609551619814,0.0533447265625,-0.033447265625,-1.2923583984375,-0.531060924666881,-0.8469840294869598,0.0,0.024338202193051224
1752506860.9500961,0,0,0.0,0.0,0,0,-0.035173047521107094,-0.012656967857974145,-0.03930321598002497,0.0570068359375,-0.0361328125,-1.294921875,-0.5351717879014924,-0.8443419761824223,0.0,0.026034298352018617
1752506861.0001032,0,0,0.0,0.0,0,0,-0.033041347671343035,-0.012923430339194655,-0.04023583466429676,0.0546875,-0.0343017578125,-1.285888671875,-0.5311909377412942,-0.8468809256516009,0.0,0.02507758818171924
1752506861.050101,0,0,0.0,0.0,0,0,-0.036105666205378875,-0.01438897398590745,-0.041168453348568536,0.0552978515625,-0.0350341796875,-1.29345703125,-0.5350141162726358,-0.8444647897961813,0.0,0.025280707733401315
1752506861.1000779,0,0,0.0,0.0,0,0,-0.035173047521107094,-0.013589586542245924,-0.03956967846124549,0.0548095703125,-0.0350341796875,-1.2921142578125,-0.5384040202931761,-0.8423115160684185,0.0,0.025147978659684447
1752506861.1501045,0,0,0.0,0.0,0,0,-0.03543951000232761,-0.01185758041431262,-0.03863705977697371,0.056884765625,-0.0380859375,-1.2938232421875,-0.5561507854921611,-0.8306611091004714,0.0,0.026427743460742927
1752506861.2000911,0,0,0.0,0.0,0,0,-0.03583920372415837,-0.01345635530163567,-0.04290045947650184,0.0560302734375,-0.037109375,-1.2933349609375,-0.551996636964443,-0.8334422906798663,0.0,0.02595497806283319
1752506861.2500927,0,0,0.0,0.0,0,0,-0.03490658503988659,-0.011990811654922875,-0.041035222107958284,0.0533447265625,-0.03564453125,-1.29345703125,-0.5554074661012585,-0.8312091187885272,0.0,0.024777962825453716
1752506861.3000758,0,0,0.0,0.0,0,0,-0.03490658503988659,-0.014655436467127957,-0.04036906590490701,0.057373046875,-0.0340576171875,-1.2933349609375,-0.5102847091196114,-0.8596194024595605,0.0,0.02576816939136166
1752506861.3500972,0,0,0.0,0.0,0,0,-0.036105666205378875,-0.015987748873230498,-0.03877029101758396,0.0572509765625,-0.0345458984375,-1.290771484375,-0.5164689068681192,-0.8559149021948689,0.0,0.02587563408301926
1752506861.400005,0.30000001192092896,0.30000001192092896,0.0,0.0,0,1,-0.036505359927209644,-0.016254211354451008,-0.04036906590490701,0.0560302734375,-0.0377197265625,-1.28955078125,-0.558256976180438,-0.8292555083068642,0.0,0.02616200467468153
